City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Katsuura,JP,2021-05-26 23:08:16,35.1333,140.3,66.31,91,100,7.14
154,Tetiyiv,UA,2021-05-26 23:08:17,49.3767,29.6647,54.73,96,38,4.21
155,Yar-Sale,RU,2021-05-26 23:08:17,66.8333,70.8333,31.15,67,4,8.5
156,Broome,US,2021-05-26 23:08:17,42.2506,-75.833,72.46,86,90,1.99
157,Lincoln,US,2021-05-26 23:03:20,40.8,-96.667,83.64,52,1,4.0
158,Rancho Palos Verdes,US,2021-05-26 23:08:18,33.7445,-118.387,84.22,77,1,1.99
159,Muros,ES,2021-05-26 23:08:18,42.7762,-9.0603,60.24,74,43,8.39
160,Yulara,AU,2021-05-26 23:08:18,-25.2406,130.9889,48.04,66,2,10.36
161,Chokurdakh,RU,2021-05-26 23:08:19,70.6333,147.9167,40.62,73,64,9.62
162,Beloha,MG,2021-05-26 23:08:19,-25.1667,45.05,63.19,96,1,4.99
163,Trinidad,BO,2021-05-26 23:08:19,-14.8333,-64.9,75.18,77,7,2.3
164,Ballina,AU,2021-05-26 23:08:20,-28.8667,153.5667,60.94,82,49,13.13
165,Lukovetskiy,RU,2021-05-26 23:08:20,64.2956,41.9211,35.58,69,64,5.28
166,Kjollefjord,NO,2021-05-26 23:08:20,70.9457,27.3465,38.62,73,44,7.81
167,Champoton,MX,2021-05-26 23:08:21,19.35,-90.7167,86.02,64,81,12.62
168,Hobart,AU,2021-05-26 23:08:21,-42.8794,147.3294,49.23,67,40,1.01
169,Muravlenko,RU,2021-05-26 23:08:21,63.7898,74.523,40.24,48,100,22.3
170,Darhan,MN,2021-05-26 23:04:07,49.4867,105.9228,48.34,65,11,7.18
171,Akhmeta,GE,2021-05-26 23:08:22,42.0311,45.2075,55.92,85,97,2.73
172,Westport,US,2021-05-26 23:08:22,41.1415,-73.3579,82.54,80,1,4.0
173,Gboko,NG,2021-05-26 23:08:22,7.3179,8.9951,79.61,75,88,9.26
174,Igarka,RU,2021-05-26 23:08:23,67.4667,86.5833,26.19,80,9,10.4
175,La Ronge,CA,2021-05-26 23:08:23,55.1001,-105.2842,45.01,35,2,6.46
176,Batsfjord,NO,2021-05-26 23:08:23,70.6345,29.7185,36.09,79,47,10.8
177,Hasaki,JP,2021-05-26 23:08:24,35.7333,140.8333,64.8,82,100,18.01
178,Zhezkazgan,KZ,2021-05-26 23:08:24,47.8043,67.7144,71.4,25,41,5.82
179,Jacareacanga,BR,2021-05-26 23:08:24,-6.2222,-57.7528,77.79,68,65,1.1
180,Faanui,PF,2021-05-26 23:03:46,-16.4833,-151.75,81.64,69,20,12.68
181,Korla,CN,2021-05-26 23:08:25,41.7597,86.1469,74.64,14,98,1.45
182,Srbobran,RS,2021-05-26 23:08:25,45.5539,19.8028,53.26,65,0,4.05
183,Trabzon,TR,2021-05-26 23:08:25,40.9167,39.8333,51.89,94,20,0.0
184,Tuktoyaktuk,CA,2021-05-26 23:08:26,69.4541,-133.0374,31.62,79,91,9.62
185,Buala,SB,2021-05-26 23:08:26,-8.145,159.5921,82.63,75,91,14.99
186,Omboue,GA,2021-05-26 23:08:27,-1.5746,9.2618,77.09,91,100,7.09
187,Charters Towers,AU,2021-05-26 23:08:27,-20.1,146.2667,68.45,63,0,3.87
188,Sant Julia De Loria,AD,2021-05-26 23:08:27,42.4625,1.4825,52.9,92,77,2.62
