City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Chokurdakh,RU,70.6333,147.9167,50.49,77,93,9.17,overcast clouds
210,Kununurra,AU,-15.7667,128.7333,64.38,52,75,4.61,broken clouds
211,Sinnamary,GF,5.3833,-52.95,82.72,75,52,11.63,light rain
212,Clyde River,CA,70.4692,-68.5914,33.19,98,100,7.18,overcast clouds
213,Aitape,PG,-3.1374,142.3475,76.39,86,22,4.27,few clouds
214,Bull Savanna,JM,17.8868,-77.5902,85.1,60,1,18.25,clear sky
215,New Norfolk,AU,-42.7826,147.0587,45.9,67,63,2.28,broken clouds
216,Aksu,CN,41.1231,80.2644,81.79,17,36,9.46,scattered clouds
217,Iskateley,RU,67.6803,53.1512,47.17,69,100,14.16,overcast clouds
218,Oranjestad,AW,12.524,-70.027,87.75,66,20,24.16,few clouds
219,Itoman,JP,26.1247,127.6694,79.57,96,75,12.66,heavy intensity rain
220,Arvika,SE,59.6553,12.5852,75.81,48,96,6.82,overcast clouds
221,Bam,IR,29.106,58.357,98.33,6,2,6.08,clear sky
222,Uvarovka,RU,55.5278,35.6061,59.72,72,68,4.12,light rain
223,Mauguio,FR,43.6181,4.0074,83.34,47,0,12.66,clear sky
224,Rafaela,AR,-31.2503,-61.4867,68.05,73,100,8.01,overcast clouds
225,Kelvington,CA,52.1667,-103.5343,76.33,52,100,15.86,overcast clouds
226,Banjarmasin,ID,-3.3244,114.591,77.14,94,51,4.03,broken clouds
227,Henties Bay,NA,-22.116,14.2845,71.62,42,0,8.08,clear sky
228,Sohag,EG,26.557,31.6948,87.04,18,2,15.7,clear sky
229,Saint Anthony,US,45.0205,-93.218,91.83,40,1,3.0,clear sky
230,Fort Saint James,CA,54.4333,-124.25,55.99,41,68,8.79,broken clouds
231,Beloha,MG,-25.1667,45.05,64.92,74,63,10.58,broken clouds
232,Mayo,US,38.8876,-76.5119,92.86,46,1,3.0,clear sky
233,Bathsheba,BB,13.2167,-59.5167,88.41,55,40,19.91,scattered clouds
234,Bandundu,CD,-3.3167,17.3667,85.42,42,68,2.04,broken clouds
235,Aguimes,ES,27.9054,-15.4461,70.75,73,20,26.46,few clouds
236,Maceio,BR,-9.6658,-35.7353,81.84,74,75,14.14,broken clouds
237,Malaya Vishera,RU,58.8454,32.2222,69.4,56,28,1.77,scattered clouds
238,Maloy,NO,61.9353,5.1136,58.73,89,99,3.89,light rain
239,Mana,GF,5.6592,-53.7767,82.29,80,51,11.41,moderate rain
240,Waingapu,ID,-9.6567,120.2641,76.15,88,78,6.82,broken clouds
241,Gamba,GA,-2.65,10.0,78.35,83,63,7.47,broken clouds
242,Faya,SA,18.3851,42.4509,73.92,57,13,6.49,few clouds
243,Vila Velha,BR,-20.3297,-40.2925,79.97,81,75,3.0,broken clouds
244,Shushtar,IR,32.0455,48.8567,106.39,8,0,8.08,clear sky
245,Nelson Bay,AU,-32.7167,152.15,50.0,61,71,15.75,broken clouds
246,Xiaoweizhai,CN,26.1903,107.5125,63.75,72,39,3.24,light rain
247,Chaiya,TH,9.3862,99.1986,78.55,86,97,5.23,overcast clouds
248,Biak,ID,-0.9131,122.8766,76.3,80,96,5.79,overcast clouds
249,George Town,MY,5.4112,100.3354,80.89,89,20,1.01,heavy intensity rain
250,Albanel,CA,48.8832,-72.4487,70.29,69,98,12.12,overcast clouds
251,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,100,90,23.02,mist
252,Finschhafen,PG,-6.6024,147.8681,77.04,88,85,5.1,overcast clouds
253,Fukue,JP,32.6881,128.8419,66.9,83,91,8.01,overcast clouds
254,Te Anau,NZ,-45.4167,167.7167,39.06,91,25,1.79,scattered clouds
255,Santa Ana,US,33.7456,-117.8678,78.37,71,75,1.99,broken clouds
256,Mahibadhoo,MV,3.7833,72.9667,83.03,77,79,15.35,broken clouds
257,Miyako,JP,39.6367,141.9525,61.74,83,100,5.21,overcast clouds
258,Scarborough,GB,54.2797,-0.4044,70.65,61,33,11.99,scattered clouds
259,Antsohihy,MG,-14.8796,47.9875,73.83,87,83,3.0,light rain
260,Saldanha,ZA,-33.0117,17.9442,60.84,53,1,10.4,clear sky
261,Aykhal,RU,66.0,111.5,39.38,60,18,11.81,few clouds
262,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,73,11,6.2,few clouds
263,Svetlogorsk,BY,52.6333,29.7333,61.95,72,100,4.88,overcast clouds
264,Goba,ET,7.0167,39.9833,51.64,93,67,3.56,light rain
265,Luderitz,NA,-26.6481,15.1594,68.14,39,0,8.75,clear sky
266,Disna,BY,55.568,28.1971,64.09,70,92,1.97,overcast clouds
267,Belyy Yar,RU,53.6039,91.3903,44.49,87,75,12.37,light rain
268,Tumpat,MY,6.1978,102.171,78.98,87,82,5.59,moderate rain
269,Bubaque,GW,11.2833,-15.8333,79.57,82,90,9.66,overcast clouds
270,Alofi,NU,-19.0595,-169.9187,74.5,71,82,16.31,broken clouds
271,Odienne,CI,9.51,-7.5692,95.36,33,39,0.83,light rain
